n,T
0,2.0591000065905973e-05
100,0.13200194299997747
200,0.38748740299979545
300,0.8492498849996082
400,1.5106895029998668
500,2.3413628200000858
600,3.8852363519999926
700,5.845461427000373
800,7.536981683000249
900,7.760353514000144
1000,10.203008739000325
1100,11.37128143300015
1200,13.528043871000136
1300,15.966928846999963
1400,18.45110418599961
1500,21.121736599000087
1600,23.97026034700002
