n,T
0,2.4213999950006837e-05
100,0.16231130300002405
200,0.46346199899971907
300,0.9644872339999893
400,1.739451261999875
500,2.894391918999645
600,4.106495947999974
700,5.716527853000116
800,7.4055609239999285
900,9.645055849000073
1000,12.67878572599966
1100,14.347836883000127
1200,16.522363068999766
1300,19.8924312930003
1400,22.973789579999902
1500,26.24294761500005
1600,30.894066543000008
1700,36.853092952000225
1800,37.78340749800009
1900,41.841707288999714
